gtstate  :  0.0 1.1837
gtstate  :  	19.254	0.0071
gtstate  :  	19.612	0.002
gtstate  :  	19.643	0.0033
gtstate  :  	19.961	0.004
gtstate  :  	20.35	0.0011
gtstate  :  	20.397	0.0006
gtstate  :  	20.634	0.0006
gtstate  :  	21.057	0.0001
gtstate  :  	21.089	0.0001
gtstate  :  	21.349	0.0
gtstate  :  	21.8	0.0
gtstate  :  	0.0	1.1837
gtstate  :  	1.266	6.1125
gtstate  :  	1.65	0.5824
gtstate  :  	2.064	1.2051
gtstate  :  	2.609	6.3109
gtstate  :  	2.692	0.5953
gtstate  :  	3.307	5.7941
gtstate  :  	3.334	0.0163
gtstate  :  	3.617	0.1126
gtstate  :  	3.697	10.7512
gtstate  :  	3.838	0.0211
gtstate  :  	4.205	12.3361
gtstate  :  	4.373	1.1406
gtstate  :  	4.49	0.0
gtstate  :  	4.652	2.6917
gtstate  :  	4.719	1.6914
gtstate  :  	4.895	0.7678
gtstate  :  	5.016	0.0
gtstate  :  	5.028	3.2758
gtstate  :  	5.173	1.408
gtstate  :  	5.233	5.6373
gtstate  :  	5.44	11.8267
gtstate  :  	5.529	0.0335
gtstate  :  	5.55	0.0291
gtstate  :  	5.61	0.098
gtstate  :  	5.771	0.0349
gtstate  :  	5.883	0.2468
gtstate  :  	5.933	0.0441
gtstate  :  	6.055	0.0989
gtstate  :  	6.07	0.0738
gtstate  :  	6.173	1.4884
gtstate  :  	6.193	0.0945
gtstate  :  	6.336	0.5439
gtstate  :  	6.394	0.1673
gtstate  :  	6.528	0.0965
gtstate  :  	6.565	0.2502
gtstate  :  	6.629	0.1253
gtstate  :  	6.762	0.5403
gtstate  :  	6.846	0.1353
gtstate  :  	6.868	0.5182
gtstate  :  	7.03	0.0558
gtstate  :  	7.033	2.8652
gtstate  :  	7.216	0.0214
gtstate  :  	7.359	0.0655
gtstate  :  	7.445	0.4953
gtstate  :  	7.506	0.5018
gtstate  :  	7.605	0.0869
gtstate  :  	7.709	0.6814
gtstate  :  	7.848	0.392
gtstate  :  	8.054	0.2071
gtstate  :  	8.077	0.3688
gtstate  :  	8.224	0.3968
gtstate  :  	8.365	0.6073
gtstate  :  	8.589	0.4929
gtstate  :  	8.661	1.0242
gtstate  :  	8.772	0.3096
gtstate  :  	8.875	0.7203
gtstate  :  	8.979	0.775
gtstate  :  	9.139	0.4998
gtstate  :  	9.395	0.6546
gtstate  :  	9.473	0.5383
gtstate  :  	9.55	0.7041
gtstate  :  	9.863	0.9675
gtstate  :  	9.878	1.1411
gtstate  :  	9.977	0.3846
gtstate  :  	10.259	0.6227
gtstate  :  	10.274	0.7602
gtstate  :  	10.468	0.3022
gtstate  :  	10.766	0.6207
gtstate  :  	10.867	0.648
gtstate  :  	10.999	0.1728
gtstate  :  	11.234	0.541
gtstate  :  	11.352	0.3515
gtstate  :  	11.528	0.1597
gtstate  :  	11.818	0.4165
gtstate  :  	11.881	0.2724
gtstate  :  	12.103	0.1031
gtstate  :  	12.326	0.3894
gtstate  :  	12.47	0.1798
gtstate  :  	12.652	0.1557
gtstate  :  	12.942	0.2015
gtstate  :  	13.078	0.0937
gtstate  :  	13.235	0.0651
gtstate  :  	13.514	0.1009
gtstate  :  	13.769	0.0673
gtstate  :  	13.943	0.0563
gtstate  :  	14.215	0.0721
gtstate  :  	14.411	0.048
gtstate  :  	14.624	0.0661
gtstate  :  	14.891	0.059
gtstate  :  	15.13	0.0402
gtstate  :  	15.21	0.0522
gtstate  :  	15.571	0.0548
gtstate  :  	15.858	0.0284
gtstate  :  	15.906	0.0375
gtstate  :  	16.243	0.0397
gtstate  :  	16.564	0.0231
gtstate  :  	16.586	0.0224
gtstate  :  	17.002	0.0286
gtstate  :  	17.33	0.0158
gtstate  :  	17.35	0.0126
gtstate  :  	17.746	0.0199
gtstate  :  	18.087	0.0079
gtstate  :  	18.115	0.012
gtstate  :  	18.488	0.0123
gtstate  :  	18.85	0.0066
gtstate  :  	18.86	0.0044
gtstate  :  	19.254	0.0071
gtstate  :  	19.612	0.002
gtstate  :  	19.643	0.0033
gtstate  :  	19.961	0.004
gtstate  :  	20.35	0.0011
gtstate  :  	20.397	0.0006
gtstate  :  	20.634	0.0006
gtstate  :  	21.057	0.0001
gtstate  :  	21.089	0.0001
gtstate  :  	21.349	0.0
gtstate  :  	21.8	0.0
gtstate  :  	0.0	1.1837
gtstate  :  	1.266	6.1125
gtstate  :  	1.65	0.5824
gtstate  :  	2.064	1.2051
gtstate  :  	2.609	6.3109
gtstate  :  	2.692	0.5953
gtstate  :  	3.307	5.7941
gtstate  :  	3.334	0.0163
gtstate  :  	3.617	0.1126
gtstate  :  	3.697	10.7512
gtstate  :  	3.838	0.0211
gtstate  :  	4.205	12.3361
gtstate  :  	4.373	1.1406
gtstate  :  	4.49	0.0
gtstate  :  	4.652	2.6917
gtstate  :  	4.719	1.6914
gtstate  :  	4.895	0.7678
gtstate  :  	5.016	0.0
gtstate  :  	5.028	3.2758
gtstate  :  	5.173	1.408
gtstate  :  	5.233	5.6373
gtstate  :  	5.44	11.8267
gtstate  :  	5.529	0.0335
gtstate  :  	5.55	0.0291
gtstate  :  	5.61	0.098
gtstate  :  	5.771	0.0349
gtstate  :  	5.883	0.2468
gtstate  :  	5.933	0.0441
gtstate  :  	6.055	0.0989
gtstate  :  	6.07	0.0738
gtstate  :  	6.173	1.4884
gtstate  :  	6.193	0.0945
gtstate  :  	6.336	0.5439
gtstate  :  	6.394	0.1673
gtstate  :  	6.528	0.0965
gtstate  :  	6.565	0.2502
gtstate  :  	6.629	0.1253
gtstate  :  	6.762	0.5403
gtstate  :  	6.846	0.1353
gtstate  :  	6.868	0.5182
gtstate  :  	7.03	0.0558
gtstate  :  	7.033	2.8652
gtstate  :  	7.216	0.0214
gtstate  :  	7.359	0.0655
gtstate  :  	7.445	0.4953
gtstate  :  	7.506	0.5018
gtstate  :  	7.605	0.0869
gtstate  :  	7.709	0.6814
gtstate  :  	7.848	0.392
gtstate  :  	8.054	0.2071
gtstate  :  	8.077	0.3688
gtstate  :  	8.224	0.3968
gtstate  :  	8.365	0.6073
gtstate  :  	8.589	0.4929
gtstate  :  	8.661	1.0242
gtstate  :  	8.772	0.3096
gtstate  :  	8.875	0.7203
gtstate  :  	8.979	0.775
gtstate  :  	9.139	0.4998
gtstate  :  	9.395	0.6546
gtstate  :  	9.473	0.5383
gtstate  :  	9.55	0.7041
gtstate  :  	9.863	0.9675
gtstate  :  	9.878	1.1411
gtstate  :  	9.977	0.3846
gtstate  :  	10.259	0.6227
gtstate  :  	10.274	0.7602
gtstate  :  	10.468	0.3022
gtstate  :  	10.766	0.6207
gtstate  :  	10.867	0.648
gtstate  :  	10.999	0.1728
gtstate  :  	11.234	0.541
gtstate  :  	11.352	0.3515
gtstate  :  	11.528	0.1597
gtstate  :  	11.818	0.4165
gtstate  :  	11.881	0.2724
gtstate  :  	12.103	0.1031
gtstate  :  	12.326	0.3894
gtstate  :  	12.47	0.1798
gtstate  :  	12.652	0.1557
gtstate  :  	12.942	0.2015
gtstate  :  	13.078	0.0937
gtstate  :  	13.235	0.0651
gtstate  :  	13.514	0.1009
gtstate  :  	13.769	0.0673
gtstate  :  	13.943	0.0563
gtstate  :  	14.215	0.0721
gtstate  :  	14.411	0.048
gtstate  :  	14.624	0.0661
gtstate  :  	14.891	0.059
gtstate  :  	15.13	0.0402
gtstate  :  	15.21	0.0522
gtstate  :  	15.571	0.0548
gtstate  :  	15.858	0.0284
gtstate  :  	15.906	0.0375
gtstate  :  	16.243	0.0397
gtstate  :  	16.564	0.0231
gtstate  :  	16.586	0.0224
gtstate  :  	17.002	0.0286
gtstate  :  	17.33	0.0158
gtstate  :  	17.35	0.0126
gtstate  :  	17.746	0.0199
gtstate  :  	18.087	0.0079
gtstate  :  	18.115	0.012
gtstate  :  	18.488	0.0123
gtstate  :  	18.85	0.0066
gtstate  :  	18.86	0.0044
gtstate  :  	19.254	0.0071
gtstate  :  	19.612	0.002
gtstate  :  	19.643	0.0033
gtstate  :  	19.961	0.004
gtstate  :  	20.35	0.0011
gtstate  :  	20.397	0.0006
gtstate  :  	20.634	0.0006
gtstate  :  	21.057	0.0001
gtstate  :  	21.089	0.0001
gtstate  :  	21.349	0.0
gtstate  :  	21.8	0.0
gtstate  :  	0.0	1.1837
gtstate  :  	1.266	6.1125
gtstate  :  	1.65	0.5824
gtstate  :  	2.064	1.2051
gtstate  :  	2.609	6.3109
gtstate  :  	2.692	0.5953
gtstate  :  	3.307	5.7941
gtstate  :  	3.334	0.0163
gtstate  :  	3.617	0.1126
gtstate  :  	3.697	10.7512
gtstate  :  	3.838	0.0211
gtstate  :  	4.205	12.3361
gtstate  :  	4.373	1.1406
gtstate  :  	4.49	0.0
gtstate  :  	4.652	2.6917
gtstate  :  	4.719	1.6914
gtstate  :  	4.895	0.7678
gtstate  :  	5.016	0.0
gtstate  :  	5.028	3.2758
gtstate  :  	5.173	1.408
gtstate  :  	5.233	5.6373
gtstate  :  	5.44	11.8267
gtstate  :  	5.529	0.0335
gtstate  :  	5.55	0.0291
gtstate  :  	5.61	0.098
gtstate  :  	5.771	0.0349
gtstate  :  	5.883	0.2468
gtstate  :  	5.933	0.0441
gtstate  :  	6.055	0.0989
gtstate  :  	6.07	0.0738
gtstate  :  	6.173	1.4884
gtstate  :  	6.193	0.0945
gtstate  :  	6.336	0.5439
gtstate  :  	6.394	0.1673
gtstate  :  	6.528	0.0965
gtstate  :  	6.565	0.2502
gtstate  :  	6.629	0.1253
gtstate  :  	6.762	0.5403
gtstate  :  	6.846	0.1353
gtstate  :  	6.868	0.5182
gtstate  :  	7.03	0.0558
gtstate  :  	7.033	2.8652
gtstate  :  	7.216	0.0214
gtstate  :  	7.359	0.0655
gtstate  :  	7.445	0.4953
gtstate  :  	7.506	0.5018
gtstate  :  	7.605	0.0869
gtstate  :  	7.709	0.6814
gtstate  :  	7.848	0.392
gtstate  :  	8.054	0.2071
gtstate  :  	8.077	0.3688
gtstate  :  	8.224	0.3968
gtstate  :  	8.365	0.6073
gtstate  :  	8.589	0.4929
gtstate  :  	8.661	1.0242
gtstate  :  	8.772	0.3096
gtstate  :  	8.875	0.7203
gtstate  :  	8.979	0.775
gtstate  :  	9.139	0.4998
gtstate  :  	9.395	0.6546
gtstate  :  	9.473	0.5383
gtstate  :  	9.55	0.7041
gtstate  :  	9.863	0.9675
gtstate  :  	9.878	1.1411
gtstate  :  	9.977	0.3846
gtstate  :  	10.259	0.6227
gtstate  :  	10.274	0.7602
gtstate  :  	10.468	0.3022
gtstate  :  	10.766	0.6207
gtstate  :  	10.867	0.648
gtstate  :  	10.999	0.1728
gtstate  :  	11.234	0.541
gtstate  :  	11.352	0.3515
gtstate  :  	11.528	0.1597
gtstate  :  	11.818	0.4165
gtstate  :  	11.881	0.2724
gtstate  :  	12.103	0.1031
gtstate  :  	12.326	0.3894
gtstate  :  	12.47	0.1798
gtstate  :  	12.652	0.1557
gtstate  :  	12.942	0.2015
gtstate  :  	13.078	0.0937
gtstate  :  	13.235	0.0651
gtstate  :  	13.514	0.1009
gtstate  :  	13.769	0.0673
gtstate  :  	13.943	0.0563
gtstate  :  	14.215	0.0721
gtstate  :  	14.411	0.048
gtstate  :  	14.624	0.0661
gtstate  :  	14.891	0.059
gtstate  :  	15.13	0.0402
gtstate  :  	15.21	0.0522
gtstate  :  	15.571	0.0548
gtstate  :  	15.858	0.0284
gtstate  :  	15.906	0.0375
gtstate  :  	16.243	0.0397
gtstate  :  	16.564	0.0231
gtstate  :  	16.586	0.0224
gtstate  :  	17.002	0.0286
gtstate  :  	17.33	0.0158
gtstate  :  	17.35	0.0126
gtstate  :  	17.746	0.0199
gtstate  :  	18.087	0.0079
gtstate  :  	18.115	0.012
gtstate  :  	18.488	0.0123
gtstate  :  	18.85	0.0066
gtstate  :  	18.86	0.0044
gtstate  :  	19.254	0.0071
gtstate  :  	19.612	0.002
gtstate  :  	19.643	0.0033
gtstate  :  	19.961	0.004
gtstate  :  	20.35	0.0011
gtstate  :  	20.397	0.0006
gtstate  :  	20.634	0.0006
gtstate  :  	21.057	0.0001
gtstate  :  	21.089	0.0001
gtstate  :  	21.349	0.0
gtstate  :  	21.8	0.0
gtstate  :  	0.0	1.1837
gtstate  :  	1.266	6.1125
gtstate  :  	1.65	0.5824
gtstate  :  	2.064	1.2051
gtstate  :  	2.609	6.3109
gtstate  :  	2.692	0.5953
gtstate  :  	3.307	5.7941
gtstate  :  	3.334	0.0163
gtstate  :  	3.617	0.1126
gtstate  :  	3.697	10.7512
gtstate  :  	3.838	0.0211
gtstate  :  	4.205	12.3361
gtstate  :  	4.373	1.1406
gtstate  :  	4.49	0.0
gtstate  :  	4.652	2.6917
gtstate  :  	4.719	1.6914
gtstate  :  	4.895	0.7678
gtstate  :  	5.016	0.0
gtstate  :  	5.028	3.2758
gtstate  :  	5.173	1.408
gtstate  :  	5.233	5.6373
gtstate  :  	5.44	11.8267
gtstate  :  	5.529	0.0335
gtstate  :  	5.55	0.0291
gtstate  :  	5.61	0.098
gtstate  :  	5.771	0.0349
gtstate  :  	5.883	0.2468
gtstate  :  	5.933	0.0441
gtstate  :  	6.055	0.0989
gtstate  :  	6.07	0.0738
gtstate  :  	6.173	1.4884
gtstate  :  	6.193	0.0945
gtstate  :  	6.336	0.5439
gtstate  :  	6.394	0.1673
gtstate  :  	6.528	0.0965
gtstate  :  	6.565	0.2502
gtstate  :  	6.629	0.1253
gtstate  :  	6.762	0.5403
gtstate  :  	6.846	0.1353
gtstate  :  	6.868	0.5182
gtstate  :  	7.03	0.0558
gtstate  :  	7.033	2.8652
gtstate  :  	7.216	0.0214
gtstate  :  	7.359	0.0655
gtstate  :  	7.445	0.4953
gtstate  :  	7.506	0.5018
gtstate  :  	7.605	0.0869
gtstate  :  	7.709	0.6814
gtstate  :  	7.848	0.392
gtstate  :  	8.054	0.2071
gtstate  :  	8.077	0.3688
gtstate  :  	8.224	0.3968
gtstate  :  	8.365	0.6073
gtstate  :  	8.589	0.4929
gtstate  :  	8.661	1.0242
gtstate  :  	8.772	0.3096
gtstate  :  	8.875	0.7203
gtstate  :  	8.979	0.775
gtstate  :  	9.139	0.4998
gtstate  :  	9.395	0.6546
gtstate  :  	9.473	0.5383
gtstate  :  	9.55	0.7041
gtstate  :  	9.863	0.9675
gtstate  :  	9.878	1.1411
gtstate  :  	9.977	0.3846
gtstate  :  	10.259	0.6227
gtstate  :  	10.274	0.7602
gtstate  :  	10.468	0.3022
gtstate  :  	10.766	0.6207
gtstate  :  	10.867	0.648
gtstate  :  	10.999	0.1728
gtstate  :  	11.234	0.541
gtstate  :  	11.352	0.3515
gtstate  :  	11.528	0.1597
gtstate  :  	11.818	0.4165
gtstate  :  	11.881	0.2724
gtstate  :  	12.103	0.1031
gtstate  :  	12.326	0.3894
gtstate  :  	12.47	0.1798
gtstate  :  	12.652	0.1557
gtstate  :  	12.942	0.2015
gtstate  :  	13.078	0.0937
gtstate  :  	13.235	0.0651
gtstate  :  	13.514	0.1009
gtstate  :  	13.769	0.0673
gtstate  :  	13.943	0.0563
gtstate  :  	14.215	0.0721
gtstate  :  	14.411	0.048
gtstate  :  	14.624	0.0661
gtstate  :  	14.891	0.059
gtstate  :  	15.13	0.0402
gtstate  :  	15.21	0.0522
gtstate  :  	15.571	0.0548
gtstate  :  	15.858	0.0284
gtstate  :  	15.906	0.0375
gtstate  :  	16.243	0.0397
gtstate  :  	16.564	0.0231
gtstate  :  	16.586	0.0224
gtstate  :  	17.002	0.0286
gtstate  :  	17.33	0.0158
gtstate  :  	17.35	0.0126
gtstate  :  	17.746	0.0199
gtstate  :  	18.087	0.0079
gtstate  :  	18.115	0.012
gtstate  :  	18.488	0.0123
gtstate  :  	18.85	0.0066
gtstate  :  	18.86	0.0044
gtstate  :  	19.254	0.0071
gtstate  :  	19.612	0.002
gtstate  :  	19.643	0.0033
gtstate  :  	19.961	0.004
gtstate  :  	20.35	0.0011
gtstate  :  	20.397	0.0006
gtstate  :  	20.634	0.0006
gtstate  :  	21.057	0.0001
gtstate  :  	21.089	0.0001
gtstate  :  	21.349	0.0
gtstate  :  	21.8	0.0
gtstate  :  	0.0	1.1837
gtstate  :  	1.266	6.1125
gtstate  :  	1.65	0.5824
gtstate  :  	2.064	1.2051
gtstate  :  	2.609	6.3109
gtstate  :  	2.692	0.5953
gtstate  :  	3.307	5.7941
gtstate  :  	3.334	0.0163
gtstate  :  	3.617	0.1126
gtstate  :  	3.697	10.7512
gtstate  :  	3.838	0.0211
gtstate  :  	4.205	12.3361
gtstate  :  	4.373	1.1406
gtstate  :  	4.49	0.0
gtstate  :  	4.652	2.6917
gtstate  :  	4.719	1.6914
gtstate  :  	4.895	0.7678
gtstate  :  	5.016	0.0
gtstate  :  	5.028	3.2758
gtstate  :  	5.173	1.408
gtstate  :  	5.233	5.6373
gtstate  :  	5.44	11.8267
gtstate  :  	5.529	0.0335
gtstate  :  	5.55	0.0291
gtstate  :  	5.61	0.098
gtstate  :  	5.771	0.0349
gtstate  :  	5.883	0.2468
gtstate  :  	5.933	0.0441
gtstate  :  	6.055	0.0989
gtstate  :  	6.07	0.0738
gtstate  :  	6.173	1.4884
gtstate  :  	6.193	0.0945
gtstate  :  	6.336	0.5439
gtstate  :  	6.394	0.1673
gtstate  :  	6.528	0.0965
gtstate  :  	6.565	0.2502
gtstate  :  	6.629	0.1253
gtstate  :  	6.762	0.5403
gtstate  :  	6.846	0.1353
gtstate  :  	6.868	0.5182
gtstate  :  	7.03	0.0558
gtstate  :  	7.033	2.8652
gtstate  :  	7.216	0.0214
gtstate  :  	7.359	0.0655
gtstate  :  	7.445	0.4953
gtstate  :  	7.506	0.5018
gtstate  :  	7.605	0.0869
gtstate  :  	7.709	0.6814
gtstate  :  	7.848	0.392
gtstate  :  	8.054	0.2071
gtstate  :  	8.077	0.3688
gtstate  :  	8.224	0.3968
gtstate  :  	8.365	0.6073
gtstate  :  	8.589	0.4929
gtstate  :  	8.661	1.0242
gtstate  :  	8.772	0.3096
gtstate  :  	8.875	0.7203
gtstate  :  	8.979	0.775
gtstate  :  	9.139	0.4998
gtstate  :  	9.395	0.6546
gtstate  :  	9.473	0.5383
gtstate  :  	9.55	0.7041
gtstate  :  	9.863	0.9675
gtstate  :  	9.878	1.1411
gtstate  :  	9.977	0.3846
gtstate  :  	10.259	0.6227
gtstate  :  	10.274	0.7602
gtstate  :  	10.468	0.3022
gtstate  :  	10.766	0.6207
gtstate  :  	10.867	0.648
gtstate  :  	10.999	0.1728
gtstate  :  	11.234	0.541
gtstate  :  	11.352	0.3515
gtstate  :  	11.528	0.1597
gtstate  :  	11.818	0.4165
gtstate  :  	11.881	0.2724
gtstate  :  	12.103	0.1031
gtstate  :  	12.326	0.3894
gtstate  :  	12.47	0.1798
gtstate  :  	12.652	0.1557
gtstate  :  	12.942	0.2015
gtstate  :  	13.078	0.0937
gtstate  :  	13.235	0.0651
gtstate  :  	13.514	0.1009
gtstate  :  	13.769	0.0673
gtstate  :  	13.943	0.0563
gtstate  :  	14.215	0.0721
gtstate  :  	14.411	0.048
gtstate  :  	14.624	0.0661
gtstate  :  	14.891	0.059
gtstate  :  	15.13	0.0402
